image_id,original,angel,object,rating
96,https://s3.amazonaws.com/deepangelai/results/person/7c671b29-6868-4ef8-a091-70718df2412f/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/7c671b29-6868-4ef8-a091-70718df2412f/box/_100.jpg,person,5
97,https://s3.amazonaws.com/deepangelai/results/handbag/e1e573d9-5bb7-4efc-a9b5-858233d91995/original.jpg,https://s3.amazonaws.com/deepangelai/results/handbag/e1e573d9-5bb7-4efc-a9b5-858233d91995/box/_100.jpg,handbag,9
98,https://s3.amazonaws.com/deepangelai/results/person/57f48029-f13e-434f-8711-a35bc59ea6c9/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/57f48029-f13e-434f-8711-a35bc59ea6c9/box/_100.jpg,person,4
99,https://s3.amazonaws.com/deepangelai/results/cat/a499ca1b-1f28-4fcd-8a6a-c8eae6cf1b79/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/a499ca1b-1f28-4fcd-8a6a-c8eae6cf1b79/box/_100.jpg,cat,4
100,https://s3.amazonaws.com/deepangelai/results/person/aa06210b-8b0f-4e4c-8c41-2e1c16909fc7/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/aa06210b-8b0f-4e4c-8c41-2e1c16909fc7/box/_100.jpg,person,4
101,https://s3.amazonaws.com/deepangelai/results/sports%20ball/47e2223c-4010-4cf8-8669-b6e46b658d9d/original.jpg,https://s3.amazonaws.com/deepangelai/results/sports%20ball/47e2223c-4010-4cf8-8669-b6e46b658d9d/box/_100.jpg,sports%20ball,1
102,https://s3.amazonaws.com/deepangelai/results/person/8902d062-132e-4560-b281-ad7d9cc97114/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/8902d062-132e-4560-b281-ad7d9cc97114/box/_100.jpg,person,1
103,https://s3.amazonaws.com/deepangelai/results/person/6e1e7560-cecb-460f-95e7-11d3fcf81020/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/6e1e7560-cecb-460f-95e7-11d3fcf81020/box/_100.jpg,person,4
104,https://s3.amazonaws.com/deepangelai/results/person/878d4d94-c6c5-4595-bc30-e608017120c5/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/878d4d94-c6c5-4595-bc30-e608017120c5/box/_100.jpg,person,3
105,https://s3.amazonaws.com/deepangelai/results/person/b8843395-2888-43d4-a2ef-3de0f9f79f0f/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/b8843395-2888-43d4-a2ef-3de0f9f79f0f/box/_100.jpg,person,3
106,https://s3.amazonaws.com/deepangelai/results/bicycle/7e5c09df-4252-4f7e-8855-544269a84d3e/original.jpg,https://s3.amazonaws.com/deepangelai/results/bicycle/7e5c09df-4252-4f7e-8855-544269a84d3e/box/_100.jpg,bicycle,9
107,https://s3.amazonaws.com/deepangelai/results/car/3adf3637-1845-4ffc-be10-8e6552205129/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/3adf3637-1845-4ffc-be10-8e6552205129/box/_100.jpg,car,3
108,https://s3.amazonaws.com/deepangelai/results/person/73995528-c325-4af9-9b22-05bdf921da48/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/73995528-c325-4af9-9b22-05bdf921da48/box/_100.jpg,person,4
109,https://s3.amazonaws.com/deepangelai/results/person/254bdaaa-0150-4265-8625-34d35d5ad733/original.jpg,https://s3.amazonaws.com/deepangelai/results/person/254bdaaa-0150-4265-8625-34d35d5ad733/box/_100.jpg,person,1
110,https://s3.amazonaws.com/deepangelai/results/cat/29fb07e2-f72c-49bf-9892-0c7e9607e191/original.jpg,https://s3.amazonaws.com/deepangelai/results/cat/29fb07e2-f72c-49bf-9892-0c7e9607e191/box/_100.jpg,cat,1
111,https://s3.amazonaws.com/deepangelai/results/car/c427a794-d9b9-4d78-af21-12e75538cdde/original.jpg,https://s3.amazonaws.com/deepangelai/results/car/c427a794-d9b9-4d78-af21-12e75538cdde/box/_100.jpg,car,1
